DEPTH,AC,SP,GR,RT
591.725,369.568,105.848,73.093,4.418
591.85,372.806,105.695,71.536,4.856
591.975,379.097,105.357,69.194,5.421
592.1,387.274,104.859,66.515,6.162
592.225,395.808,104.255,64.143,7.109
592.35,403.242,103.599,62.439,8.401
592.475,408.859,102.944,61.315,10.003
592.6,412.483,102.326,61.091,11.75
592.725,414.146,101.773,62.128,13.3
592.85,413.975,101.329,64.01,13.874
592.975,412.413,100.995,65.183,13.274
593.1,409.752,100.757,64.754,11.833
593.225,405.672,100.597,62.837,10.114
593.35,398.98,100.524,60.51,8.524
593.475,388.902,100.554,58.972,7.26
593.6,376.052,100.715,58.416,6.299
593.725,362.543,101.006,58.768,5.556
593.85,352.187,101.402,60.449,5.013
593.975,347.83,101.815,63.468,4.585
594.1,349.684,102.199,67.399,4.235
594.225,356.111,102.541,71.052,3.943
594.35,364.453,102.838,73.127,3.707
594.475,372.327,103.104,74.121,3.492
594.6,378.389,103.35,74.998,3.304
594.725,382.053,103.589,76.409,3.16
594.85,382.959,103.819,78.089,3.035
594.975,381.666,104.055,79.328,2.915
595.1,379.579,104.325,80.05,2.796
595.225,377.765,104.653,80.817,2.681
595.35,376.375,105.063,82.637,2.578
595.475,374.377,105.534,85.331,2.489
595.6,370.352,106.042,87.604,2.421
595.725,363.604,106.567,87.872,2.376
595.85,354.579,107.123,85.091,2.361
595.975,344.95,107.706,80.903,2.367
596.1,336.876,108.278,77.021,2.391
596.225,332.02,108.78,74.393,2.428
596.35,331.647,109.12,72.676,2.474
596.475,335.649,109.277,70.811,2.522
596.6,342.121,109.234,68.66,2.569
596.725,348.942,108.988,66.985,2.612
596.85,353.893,108.518,67.044,2.656
596.975,355.875,107.909,68.768,2.707
597.1,355.852,107.247,71.332,2.771
597.225,355.507,106.613,73.764,2.849
597.35,356.229,106.053,75.138,2.941
597.475,357.725,105.548,75.347,3.036
597.6,357.981,105.097,74.762,3.125
597.725,355.823,104.718,73.963,3.196
597.85,352.694,104.479,73.397,3.246
597.975,352.149,104.388,72.973,3.289
598.1,356.843,104.427,72.65,3.335
598.225,366.817,104.567,72.853,3.395
598.35,379.392,104.802,74.143,3.483
598.475,390.191,105.093,76.342,3.599
598.6,395.701,105.397,79.041,3.696
598.725,394.847,105.655,81.466,3.804
598.85,389.139,105.787,82.77,3.944
598.975,382.395,105.77,83.017,4.138
599.1,378.864,105.591,82.943,4.417
599.225,379.83,105.255,83.939,4.816
599.35,383.164,104.768,87.87,5.415
599.475,384.465,104.2,94.746,6.237
599.6,380.914,103.603,104.044,7.305
599.725,373.078,103.011,115.045,8.653
599.85,364.378,102.447,128.307,10.291
599.975,359.093,101.912,144.135,11.971
600.1,358.901,101.405,161.216,13.459
600.225,363.041,100.924,175.586,14.346
600.35,369.301,100.48,180.369,14.128
600.475,375.179,100.102,174.128,13.093
600.6,378.631,99.818,158.587,11.678
600.725,377.789,99.644,138.314,10.274
600.85,370.747,99.6,119.474,9.093
600.975,357.202,99.638,105.6,8.174
601.1,342.388,99.712,97.241,7.484
601.225,332.992,99.778,93.167,6.975
601.35,334.784,99.793,91.182,6.611
601.475,349.067,99.736,89.166,6.332
601.6,367.848,99.616,87.115,6.13
601.725,383.484,99.456,85.9,6.026
601.85,391.208,99.276,86.207,6.067
601.975,391.209,99.098,86.993,6.248
602.1,389.292,98.953,87.225,6.569
602.225,388.843,98.873,86.498,7.028
602.35,390.098,98.912,85.474,7.627
602.475,390.746,99.062,85.433,8.336
602.6,389.289,99.3,86.739,9.16
602.725,386.674,99.585,89.027,10.123
602.85,385.1,99.873,91.19,11.315
602.975,386.161,100.128,92.125,12.928
603.1,388.306,100.322,91.442,15.237
603.225,389.139,100.422,89.179,18.597
603.35,386.755,100.369,85.969,23.642
603.475,380.677,100.162,83.164,29.854
603.6,373.562,99.795,81.161,35.565
603.725,368.095,99.263,79.794,37.664
603.85,366.35,98.577,78.792,33.798
603.975,369.105,97.859,78.296,27.563
604.1,373.364,97.248,78.807,21.408
604.225,375.495,96.863,80.519,16.437
604.35,371.683,96.815,83.323,12.887
604.475,358.359,97.063,86.051,10.194
604.6,338.672,97.597,87.876,8.108
604.725,318.108,98.414,88.723,6.537
604.85,304.057,99.523,88.508,5.398
604.975,304.921,100.792,87.014,4.558
605.1,319.471,102.093,84.193,3.95
605.225,342.317,103.308,81.004,3.478
605.35,365.433,104.316,79.631,3.165
605.475,379.978,105.104,81.182,2.942
605.6,383.758,105.657,85.216,2.782
605.725,377.942,105.979,89.686,2.671
605.85,366.598,106.042,91.444,2.601
605.975,355.655,105.883,89.582,2.563
606.1,349.458,105.511,84.847,2.556
606.225,348.7,104.968,78.924,2.579
606.35,351.406,104.332,74.111,2.633
606.475,354.494,103.705,71.626,2.706
606.6,356.23,103.136,71.392,2.786
606.725,356.973,102.645,72.259,2.855
606.85,357.31,102.255,72.635,2.893
606.975,356.939,101.969,72.197,2.897
607.1,355.712,101.81,71.52,2.869
607.225,354.831,101.797,71.173,2.817
607.35,356.783,101.956,71.188,2.755
607.475,363.833,102.244,70.866,2.695
607.6,373.989,102.635,70.226,2.641
607.725,383.638,103.086,70,2.595
607.85,389.083,103.546,71.085,2.557
607.975,388.63,103.976,72.93,2.525
608.1,384.886,104.353,74.438,2.499
608.225,379.927,104.656,74.94,2.48
608.35,374.583,104.873,74.787,2.472
608.475,368.455,105.062,74.692,2.475
608.6,361.461,105.291,74.757,2.488
608.725,354.36,105.623,74.444,2.507
608.85,348.538,106.104,73.165,2.523
608.975,345.32,106.686,71.535,2.529
609.1,344.637,107.313,70.243,2.523
609.225,346.16,107.923,69.57,2.502
609.35,349.426,108.407,69.105,2.47
609.475,353.669,108.681,68.123,2.435
609.6,357.639,108.676,66.81,2.405
609.725,360.538,108.366,65.854,2.383
609.85,362.162,107.744,66.082,2.376
609.975,362.951,106.939,67.376,2.385
610.1,363.734,106.026,69.115,2.414
610.225,364.864,105.055,70.539,2.462
610.35,366.33,104.049,71.003,2.536
610.475,367.984,103.02,70.909,2.628
610.6,369.787,101.969,70.902,2.735
610.725,371.819,100.898,71.516,2.85
610.85,373.985,99.834,73.056,2.96
610.975,375.951,98.833,74.794,3.055
611.1,377.329,97.963,75.859,3.126
611.225,377.918,97.285,75.687,3.168
611.35,377.885,96.864,74.353,3.177
611.475,377.805,96.648,72.643,3.157
611.6,378.367,96.626,70.773,3.11
611.725,379.953,96.784,68.903,3.04
611.85,382.695,97.086,67.48,2.954
611.975,386.343,97.419,66.822,2.863
612.1,390.106,97.712,67.129,2.78
612.225,393.207,97.942,68.157,2.719
612.35,395.142,98.126,69.559,2.7
612.475,396.055,98.304,70.925,2.725
612.6,396.499,98.49,72.084,2.799
612.725,396.512,98.692,72.956,2.922
612.85,395.464,98.931,73.328,3.091
612.975,392.642,99.215,73.401,3.28
613.1,388.153,99.528,73.62,3.491
613.225,382.65,99.827,74.104,3.648
613.35,377.054,100.068,74.266,3.747
613.475,372.123,100.262,73.509,3.805
613.6,368.232,100.435,72.001,3.825
613.725,365.468,100.612,70.681,3.812
613.85,363.524,100.805,70.859,3.762
613.975,361.832,100.994,72.366,3.682
614.1,360.256,101.172,74.115,3.578
614.225,359.455,101.347,75.004,3.415
614.35,360.423,101.535,74.505,3.283
614.475,363.21,101.742,73.311,3.165
614.6,366.719,101.964,72.05,3.073
614.725,370,102.192,71.099,3.012
614.85,372.814,102.419,70.759,2.983
614.975,375.434,102.653,71.098,2.978
615.1,377.728,102.891,72.363,2.99
615.225,378.913,103.099,74.701,3.012
615.35,378.283,103.224,77.378,3.041
615.475,376.476,103.251,79.021,3.076
615.6,375.188,103.167,78.961,3.118
615.725,375.756,102.97,77.369,3.166
615.85,378.176,102.657,74.988,3.223
615.975,380.613,102.279,73.089,3.296
616.1,381.052,101.901,72.374,3.392
616.225,379.014,101.61,72.751,3.553
616.35,375.868,101.487,73.468,3.71
616.475,373.72,101.503,73.743,3.893
616.6,373.547,101.623,73.163,4.083
616.725,374.669,101.804,71.477,4.26
616.85,375.38,102.003,69.023,4.387
616.975,374.765,102.18,66.899,4.453
617.1,373.387,102.286,65.541,4.46
617.225,372.438,102.26,64.831,4.426
617.35,372.778,102.064,64.493,4.384
617.475,374.089,101.765,64.268,4.36
617.6,375.604,101.414,64.289,4.361
617.725,376.88,101.051,64.915,4.384
617.85,377.778,100.724,66.326,4.415
617.975,378.185,100.473,67.928,4.44
618.1,377.758,100.32,69.082,4.453
618.225,376.216,100.271,69.278,4.457
618.35,373.863,100.324,68.184,4.457
618.475,371.613,100.439,66.203,4.456
618.6,370.062,100.608,64.094,4.446
618.725,369.247,100.833,63.179,4.415
618.85,368.969,101.124,64.909,4.338
618.975,368.906,101.456,68.387,4.207
619.1,368.776,101.81,71.899,4.028
619.225,368.382,102.171,73.864,3.818
619.35,367.85,102.52,73.47,3.595
619.475,367.733,102.832,71.955,3.369
619.6,368.387,103.083,70.617,3.202
619.725,369.345,103.262,70.411,3.077
619.85,369.212,103.374,71.325,2.998
619.975,367.579,103.44,72.234,2.953
620.1,365.554,103.454,72.515,2.94
620.225,364.708,103.396,72.135,2.954
620.35,365.289,103.228,71.896,2.996
620.475,365.059,102.967,72.492,3.061
620.6,361.939,102.631,73.627,3.146
620.725,356.247,102.236,74.567,3.247
620.85,351.791,101.748,74.731,3.363
620.975,352.278,101.176,74.467,3.502
621.1,358.377,100.583,74.305,3.633
621.225,367.345,100.072,74.416,3.732
621.35,373.76,99.755,74.609,3.803
621.475,374.303,99.624,74.742,3.841
621.6,368.881,99.676,74.787,3.841
621.725,360.02,99.916,74.667,3.808
621.85,351.774,100.394,74.103,3.739
621.975,346.653,101.062,73.217,3.653
622.1,344.755,101.851,72.721,3.561
622.225,344.755,102.645,73.421,3.436
622.35,345.588,103.309,75.549,3.363
622.475,347.535,103.798,77.95,3.314
622.6,351.549,104.098,79.478,3.291
622.725,357.663,104.195,79.432,3.294
622.85,363.433,104.042,77.357,3.33
622.975,365.428,103.694,74.165,3.398
623.1,362.131,103.206,71.146,3.534
623.225,355.136,102.659,69.463,3.696
623.35,349.32,102.168,69.621,3.92
623.475,348.381,101.781,70.558,4.219
623.6,352.009,101.47,71.197,4.604
623.725,356.283,101.167,71.023,5.082
623.85,354.752,100.764,70.623,5.674
623.975,345.563,100.208,71.115,6.355
624.1,330.462,99.484,72.696,7.095
624.225,315.212,98.644,74.662,7.887
624.35,303.938,97.764,76.118,8.714
624.475,298.652,96.913,76.936,9.521
624.6,299.633,96.144,77.499,10.228
624.725,305.221,95.506,78.058,10.756
624.85,311.6,95.097,78.238,10.988
624.975,314.683,94.939,77.779,10.894
625.1,312.517,95.027,76.902,10.477
625.225,306.205,95.269,76.152,9.787
625.35,299.605,95.531,75.945,8.873
625.475,296.989,95.714,75.981,7.9
625.6,300.01,95.778,75.888,6.96
625.725,307.522,95.732,75.495,6.135
625.85,316.832,95.623,75.124,5.491
625.975,325.575,95.513,75.31,5.023
